X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8358059.50620009,4894276.31344988,3371,2218583N,Bus,22,Northbound,18583,Jacksonville Rd & Walmart - onsite,40.194702,-75.081726,Fall 2023,4,24,2,26,5,27
-8366926.9941977,4877952.02897982,3372,22442N,Bus,22,Northbound,442,Limekiln Pk & Greenwood Av - FS,40.082595,-75.161384,Fall 2023,0,2,0,0,0,0
-8362016.35750034,4886546.85338633,3373,2230428N,Bus,22,Northbound,30428,Moreland Rd & Easton Rd - FS,40.141643,-75.117271,Fall 2023,2,54,0,42,0,26
-8362283.85823671,4886715.19129405,3374,2231567N,Bus,22,Northbound,31567,Moreland Rd & Park Av,40.142799,-75.119674,Fall 2023,2,3,4,6,3,3
-8360417.92093204,4893629.71433808,3375,2217114N,Bus,22,Northbound,17114,Old York & County Line - FS,40.190265,-75.102912,Fall 2023,0,11,1,8,0,7
-8361248.58697233,4890524.96650175,3376,2215609N,Bus,22,Northbound,15609,Old York & Crooked Billet,40.168956,-75.110374,Fall 2023,0,0,0,1,0,1
-8360386.52883563,4893865.49879144,3377,2215615N,Bus,22,Northbound,15615,Old York Rd & Beech St,40.191883,-75.10263,Fall 2023,1,1,0,1,0,0
-8361832.90297951,4887384.63950242,3378,2215594N,Bus,22,Northbound,15594,Old York Rd & Cedar Av - MBFS,40.147396,-75.115623,Fall 2023,0,0,2,1,1,0
-8360570.87391238,4892817.04428039,3379,2228399N,Bus,22,Northbound,28399,Old York Rd & Crescent Rd,40.184688,-75.104286,Fall 2023,2,0,0,0,0,0
-8360339.7746495,4894157.24976414,3380,2228400N,Bus,22,Northbound,28400,Old York Rd & Date St,40.193885,-75.10221,Fall 2023,0,2,0,0,0,2
-8361868.52521656,4886993.47935903,3381,2230781N,Bus,22,Northbound,30781,Old York Rd & Easton Rd - FS,40.14471,-75.115943,Fall 2023,1,1,0,0,0,0
-8361632.41657659,4887943.44573388,3382,2215596N,Bus,22,Northbound,15596,Old York Rd & Fairhill St,40.151233,-75.113822,Fall 2023,2,3,1,1,0,1
-8361408.21912213,4889148.54738519,3383,2215602N,Bus,22,Northbound,15602,Old York Rd & Fitzwatertown Rd,40.159507,-75.111808,Fall 2023,4,11,3,2,3,3
-8360252.38884923,4894753.74846369,3384,2215623N,Bus,22,Northbound,15623,Old York Rd & Hawthorne St,40.197978,-75.101425,Fall 2023,1,4,0,1,0,1
-8360184.37264035,4895196.95588423,3385,2215625N,Bus,22,Northbound,15625,Old York Rd & Henry Av,40.201019,-75.100814,Fall 2023,1,2,0,1,0,0
-8360618.40733495,4892564.67406138,3386,2228398N,Bus,22,Northbound,28398,Old York Rd & Home Rd - MBNS,40.182956,-75.104713,Fall 2023,0,1,1,1,0,1
-8361173.89159401,4890890.18891952,3387,2217106N,Bus,22,Northbound,17106,Old York Rd & Horsham Rd,40.171463,-75.109703,Fall 2023,3,3,1,3,0,4
-8360208.19501138,4895047.85758149,3388,2215624N,Bus,22,Northbound,15624,Old York Rd & Juniper St,40.199996,-75.101028,Fall 2023,0,1,0,1,0,1
-8361470.2240785,4888712.45666541,3389,2215600N,Bus,22,Northbound,15600,Old York Rd & Lakevue Dr - FS,40.156513,-75.112365,Fall 2023,0,1,0,0,0,1
-8360996.3370062,4891105.22047385,3390,2217109N,Bus,22,Northbound,17109,Old York Rd & Lehman Av,40.172939,-75.108108,Fall 2023,0,2,0,2,3,1
-8360165.6709659,4895349.26292493,3391,2215626N,Bus,22,Northbound,15626,Old York Rd & Lemon St,40.202064,-75.100646,Fall 2023,0,0,0,0,0,1
-8361706.33271848,4887725.71580973,3392,2215595N,Bus,22,Northbound,15595,Old York Rd & Lincoln Av - FS,40.149738,-75.114486,Fall 2023,0,0,0,0,0,1
-8360536.03091177,4893009.38618736,3393,2217112N,Bus,22,Northbound,17112,Old York Rd & Madison Av - MBNS,40.186008,-75.103973,Fall 2023,2,3,1,0,1,0
